Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
512,26,male,2,rent,little,rich,2687,15,business
825,30,male,2,own,little,little,1602,21,car
591,42,female,2,rent,,moderate,1965,24,car
126,40,male,1,own,little,little,701,12,radio/TV
116,30,female,3,own,,little,7174,42,radio/TV
473,36,male,3,own,,,1238,6,education
693,44,male,1,own,,little,4716,6,car
57,31,female,2,own,little,,9566,36,radio/TV
863,32,male,1,own,rich,,4526,27,furniture/equipment
912,25,female,2,own,,moderate,2991,30,radio/TV
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment
268,45,male,3,own,little,little,8978,14,car
46,39,male,2,own,quite rich,,2299,36,radio/TV
349,32,male,2,free,rich,moderate,1136,9,education
195,34,female,3,own,little,moderate,1501,9,education
999,27,male,2,own,moderate,moderate,4576,45,car
834,25,female,1,own,little,rich,2327,15,radio/TV
736,23,female,3,rent,little,moderate,11560,24,car
263,57,female,1,free,little,,2748,12,education
443,41,male,1,own,little,,719,12,education
675,26,female,3,rent,little,,4530,30,radio/TV
304,44,male,2,free,quite rich,,10127,48,car
341,26,female,1,rent,little,little,3599,21,furniture/equipment
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV
149,46,male,2,own,rich,,1582,18,radio/TV
124,27,female,2,rent,,moderate,1924,18,furniture/equipment
786,40,male,2,own,quite rich,,2675,22,radio/TV
50,29,male,1,own,,moderate,2333,24,furniture/equipment
353,28,male,2,rent,little,little,6199,12,radio/TV
927,39,male,2,free,little,little,10297,48,car
142,27,male,3,own,little,little,3416,27,radio/TV
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV
399,43,female,1,own,rich,,1516,24,radio/TV
625,35,male,2,own,,,1979,15,radio/TV
320,28,male,3,own,little,moderate,4249,30,car
19,31,male,2,own,quite rich,,3430,24,radio/TV
809,26,female,0,rent,little,moderate,1778,15,car
790,39,female,2,own,little,moderate,1188,21,business
808,55,male,3,free,little,moderate,9283,42,car
407,27,male,2,own,little,little,1053,15,radio/TV
537,37,female,2,own,little,moderate,3612,18,furniture/equipment
620,27,male,2,own,little,moderate,3652,21,business
38,37,male,2,own,little,rich,1225,10,domestic appliances
175,53,female,3,own,,,7485,30,car
245,25,male,2,own,little,,1258,24,business
828,47,male,2,free,,little,8335,36,car
667,27,female,2,own,little,,3609,48,business
754,55,male,2,free,rich,,1555,12,repairs
858,29,female,2,own,little,little,3959,15,car
154,36,male,3,rent,moderate,moderate,6967,24,business
287,31,male,3,free,moderate,moderate,7582,48,vacation/others
602,34,female,1,free,little,moderate,1837,24,education
569,31,female,2,own,little,little,6758,48,radio/TV
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment
17,25,male,2,own,,little,8072,30,business
127,30,male,2,own,little,moderate,639,12,repairs
322,34,male,3,free,little,little,2910,24,car
255,27,male,1,own,,moderate,7418,60,radio/TV
657,37,male,2,own,,,10222,48,radio/TV
964,22,male,1,own,little,moderate,454,6,repairs
190,54,male,3,own,rich,,4591,24,business
115,47,male,2,own,,,3578,48,radio/TV
616,27,male,3,free,,moderate,9157,60,radio/TV
606,74,male,3,own,little,,4526,24,business
180,28,male,2,own,little,,9572,36,business
301,42,female,2,own,little,moderate,3804,36,radio/TV
759,35,male,2,own,little,little,691,12,car
712,46,male,3,own,,,2476,21,car
723,66,female,1,own,quite rich,moderate,790,9,radio/TV
685,34,male,2,free,,,6527,60,car
979,25,male,2,rent,moderate,moderate,1264,15,car
517,23,female,2,rent,little,,7127,36,furniture/equipment
984,30,male,1,own,little,,2028,24,furniture/equipment
45,35,female,3,own,little,,1393,11,car
909,33,female,1,own,,moderate,3195,9,car
157,45,male,1,own,little,little,339,12,education
851,43,male,2,own,,,4042,24,car
171,26,female,2,own,little,,763,12,furniture/equipment
16,53,male,2,own,,,2424,24,radio/TV
511,32,male,3,free,little,,4686,36,car
48,39,male,1,own,little,,7228,11,car
971,43,male,1,own,little,,7393,24,car
940,45,male,3,own,,,3527,12,car
515,37,female,2,own,little,little,609,6,car
952,28,female,2,rent,quite rich,moderate,4113,24,car
480,23,female,1,own,little,moderate,3573,12,radio/TV
283,63,male,2,own,,,1520,15,furniture/equipment
718,31,male,2,own,,rich,3148,24,radio/TV
877,28,male,2,own,little,,3595,36,radio/TV
225,27,male,2,own,little,,2613,36,repairs
26,39,male,1,own,little,,426,6,radio/TV
954,29,female,2,own,little,little,1893,12,car
437,37,female,2,own,rich,,1287,24,car
951,24,male,2,own,little,little,2145,36,business
364,25,male,0,own,little,little,2473,18,furniture/equipment
229,22,male,2,free,little,little,3149,24,furniture/equipment
37,37,male,2,own,little,rich,2100,18,radio/TV
965,26,female,2,own,,moderate,1715,30,radio/TV
374,60,female,3,free,moderate,moderate,14782,60,vacation/others
469,35,male,1,own,little,,4679,24,car
967,54,female,3,rent,little,,3568,15,radio/TV
850,33,male,2,rent,little,little,2235,20,car
704,32,female,2,own,little,moderate,2528,27,business
841,28,male,1,own,little,,2993,21,car
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV
854,45,male,2,own,little,,10875,36,car
864,25,male,1,rent,little,,2210,10,furniture/equipment
503,38,male,2,own,moderate,moderate,1216,24,radio/TV
969,40,male,1,own,little,little,3939,11,car
830,44,male,2,own,quite rich,,2375,24,business
579,27,male,1,own,little,,937,24,education
968,29,male,2,rent,,,7166,42,radio/TV
162,36,male,2,own,quite rich,,1262,15,domestic appliances
908,46,female,1,own,little,,3594,15,car
152,24,male,2,own,little,rich,5848,36,radio/TV
801,48,female,1,rent,little,moderate,1795,18,radio/TV
993,30,male,3,own,little,little,3959,36,furniture/equipment
755,32,female,2,rent,,little,1285,24,car
111,23,female,2,rent,little,rich,392,15,education
226,27,male,2,own,rich,moderate,10961,48,radio/TV
688,35,male,2,own,moderate,,2753,9,radio/TV
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment
421,30,male,2,own,,moderate,2028,12,car
419,33,female,2,own,,moderate,1042,18,car
750,49,female,2,own,little,little,428,6,furniture/equipment
586,36,male,2,rent,little,little,2799,9,car
780,25,male,2,own,little,moderate,4933,39,radio/TV
672,42,male,3,own,little,,10366,60,car
119,36,male,3,own,quite rich,moderate,2366,12,car
53,31,male,2,own,,,3378,18,car
151,38,male,2,own,little,,1924,10,radio/TV
403,27,male,1,own,little,,802,14,car
945,30,female,2,own,quite rich,moderate,8358,48,car
207,26,male,2,own,little,moderate,1424,12,domestic appliances
658,28,female,2,own,little,moderate,4221,30,business
843,50,male,2,own,little,,1559,24,business
762,24,male,1,own,little,little,2214,12,radio/TV
8,61,male,1,own,rich,,3059,12,radio/TV
807,65,male,2,own,,,930,12,radio/TV
36,31,male,2,free,little,,6110,48,education
452,34,male,2,own,little,,2759,12,furniture/equipment
651,37,male,1,own,little,moderate,1922,12,furniture/equipment
253,35,male,2,own,moderate,,4151,24,furniture/equipment
303,49,male,2,own,little,little,1038,10,car
746,23,female,2,rent,little,little,2511,15,car
571,38,male,2,own,little,,5954,30,radio/TV
623,22,female,2,rent,little,little,1858,12,furniture/equipment
732,44,female,1,own,little,moderate,760,8,radio/TV
891,46,male,2,own,little,,1829,15,radio/TV
262,36,male,3,free,little,little,5302,18,car
610,22,female,2,own,moderate,little,741,12,domestic appliances
297,45,male,1,own,,,1287,10,car
414,35,female,2,own,,little,1381,24,car
150,42,male,2,free,moderate,,1346,6,radio/TV
788,50,male,2,free,little,moderate,6224,48,education
640,27,female,0,own,little,little,750,18,education
889,40,male,2,rent,,,7824,28,car
550,23,female,2,own,,,996,12,repairs
886,34,male,2,own,,moderate,2825,24,business
488,35,male,1,rent,moderate,,1418,10,car
147,51,female,2,own,moderate,,682,12,car
146,39,female,2,own,little,little,860,6,car
720,34,male,3,own,little,rich,1337,9,radio/TV
931,22,female,2,own,little,moderate,1670,9,radio/TV
739,26,female,1,rent,moderate,moderate,4280,30,business
659,41,male,2,own,little,moderate,6361,18,furniture/equipment
348,34,male,1,own,moderate,,1743,6,business
463,38,male,2,own,,moderate,754,12,education
325,39,male,1,own,little,little,3398,8,car
186,74,female,3,free,little,moderate,5129,9,car
123,63,male,2,free,little,rich,781,10,car
853,32,male,1,free,little,little,1442,18,car
608,33,male,2,own,little,,2051,18,radio/TV
143,22,male,2,own,little,little,2462,18,furniture/equipment
958,45,male,1,own,little,little,4006,28,car
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment
609,45,male,2,free,,,1300,15,car
279,29,male,3,rent,moderate,,1901,24,radio/TV
293,56,male,2,free,little,rich,4796,42,car
400,39,male,2,own,little,,1473,18,radio/TV
122,24,male,1,rent,little,,1768,12,furniture/equipment
183,50,male,2,own,rich,,3777,24,furniture/equipment
202,26,male,2,own,little,,5117,27,business
438,65,male,0,own,little,little,3394,42,repairs
246,52,male,2,own,little,,717,12,radio/TV
415,35,male,2,own,little,,5842,36,car
932,30,male,2,own,little,,1224,9,car
765,40,male,1,own,little,moderate,1155,12,radio/TV
906,24,male,1,own,,little,3763,21,car
835,48,male,2,own,little,little,1082,12,car
887,23,male,2,own,little,moderate,15672,48,business
129,29,female,2,own,little,little,3499,12,car
637,21,male,2,own,little,,15653,60,radio/TV
402,27,male,2,own,little,,8648,24,business
784,60,male,3,own,,moderate,6468,20,car
770,26,female,2,rent,,little,2812,24,car
735,29,female,0,own,,moderate,3990,36,domestic appliances
913,28,male,2,own,rich,,2142,11,business
219,64,female,2,own,little,,1364,10,car
641,38,male,1,own,little,moderate,1308,15,repairs
915,32,female,3,own,little,moderate,18424,48,vacation/others
752,23,female,1,rent,moderate,moderate,841,12,business
806,26,male,1,own,little,moderate,590,6,radio/TV
919,39,male,3,rent,little,little,3345,24,furniture/equipment
624,65,male,2,free,little,little,2600,18,radio/TV
874,29,male,1,own,little,little,3590,12,furniture/equipment
760,59,female,2,own,,,5045,15,car
386,21,female,2,rent,,,1126,18,radio/TV
972,29,female,0,rent,little,little,1193,24,car
509,45,male,3,own,moderate,,8588,39,car
267,38,female,2,own,little,,1533,24,radio/TV
819,26,male,2,own,little,little,1345,18,radio/TV
441,30,female,2,own,little,little,1620,12,furniture/equipment
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
112,28,male,1,rent,little,moderate,6260,18,car
691,25,female,1,own,moderate,moderate,2631,15,repairs
232,35,male,2,own,moderate,,2141,12,radio/TV
869,24,female,2,rent,little,little,652,12,furniture/equipment
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
671,31,male,2,own,moderate,,5742,36,business
373,63,male,3,free,,,13756,60,car
981,33,male,3,rent,little,,4844,48,business
842,23,female,2,own,little,,1943,18,repairs
233,25,male,1,own,little,moderate,866,18,radio/TV
785,35,male,1,own,rich,moderate,1941,18,business
676,33,male,2,own,little,,5150,24,furniture/equipment
317,48,female,1,own,,moderate,4351,24,furniture/equipment
648,38,male,2,free,little,rich,947,24,car
410,20,female,2,own,little,moderate,1967,24,radio/TV
898,33,female,1,rent,,,2186,15,furniture/equipment
709,37,male,1,own,little,moderate,2118,9,radio/TV
358,28,male,2,own,little,,776,12,radio/TV
258,23,female,2,own,moderate,,3812,15,car
744,30,male,3,own,,little,14179,39,furniture/equipment
627,29,male,2,own,moderate,moderate,1437,9,car
